"measurementLabel" "measurementCode" "subjectID" "activityLabel" "activityCode" "meanMeasurementBySubjectByActivity"
"tBodyAcc-mean()-X" 1 13 "STANDING" 5 0.278
"tBodyAcc-mean()-X" 1 13 "LAYING" 6 0.277
"tBodyAcc-mean()-X" 1 14 "WALKING" 1 0.272
"tBodyAcc-mean()-X" 1 14 "WALKING_UPSTAIRS" 2 0.262
"tBodyAcc-mean()-X" 1 14 "WALKING_DOWNSTAIRS" 3 0.293
"tBodyAcc-mean()-X" 1 14 "SITTING" 4 0.28
"tBodyAcc-mean()-X" 1 14 "STANDING" 5 0.281
"tBodyAcc-mean()-X" 1 14 "LAYING" 6 0.233
"tBodyAcc-mean()-X" 1 15 "WALKING" 1 0.274
"tBodyAcc-mean()-X" 1 15 "WALKING_UPSTAIRS" 2 0.27
"tBodyAcc-mean()-X" 1 15 "WALKING_DOWNSTAIRS" 3 0.28
"tBodyAcc-mean()-X" 1 15 "SITTING" 4 0.273
"tBodyAcc-mean()-X" 1 15 "STANDING" 5 0.279
"tBodyAcc-mean()-X" 1 15 "LAYING" 6 0.289
"tBodyAcc-mean()-X" 1 16 "WALKING" 1 0.276
"tBodyAcc-mean()-X" 1 16 "WALKING_UPSTAIRS" 2 0.256
"tBodyAcc-mean()-X" 1 16 "WALKING_DOWNSTAIRS" 3 0.296
"tBodyAcc-mean()-X" 1 16 "SITTING" 4 0.281
"tBodyAcc-mean()-X" 1 16 "STANDING" 5 0.283
"tBodyAcc-mean()-X" 1 16 "LAYING" 6 0.274
"tBodyAcc-mean()-X" 1 17 "WALKING" 1 0.272
"tBodyAcc-mean()-X" 1 17 "WALKING_UPSTAIRS" 2 0.253
"tBodyAcc-mean()-X" 1 17 "WALKING_DOWNSTAIRS" 3 0.294
"tBodyAcc-mean()-X" 1 17 "SITTING" 4 0.277
"tBodyAcc-mean()-X" 1 17 "STANDING" 5 0.278
"tBodyAcc-mean()-X" 1 17 "LAYING" 6 0.27
"tBodyAcc-mean()-X" 1 18 "WALKING" 1 0.274
"tBodyAcc-mean()-X" 1 18 "WALKING_UPSTAIRS" 2 0.265
"tBodyAcc-mean()-X" 1 18 "WALKING_DOWNSTAIRS" 3 0.288
"tBodyAcc-mean()-X" 1 18 "SITTING" 4 0.277
"tBodyAcc-mean()-X" 1 18 "STANDING" 5 0.278
"tBodyAcc-mean()-X" 1 18 "LAYING" 6 0.275
"tBodyAcc-mean()-X" 1 19 "WALKING" 1 0.274
"tBodyAcc-mean()-X" 1 19 "WALKING_UPSTAIRS" 2 0.242
"tBodyAcc-mean()-X" 1 19 "WALKING_DOWNSTAIRS" 3 0.263
"tBodyAcc-mean()-X" 1 19 "SITTING" 4 0.274
"tBodyAcc-mean()-X" 1 19 "STANDING" 5 0.278
"tBodyAcc-mean()-X" 1 19 "LAYING" 6 0.273
"tBodyAcc-mean()-X" 1 20 "WALKING" 1 0.273
"tBodyAcc-mean()-X" 1 20 "WALKING_UPSTAIRS" 2 0.252
"tBodyAcc-mean()-X" 1 20 "WALKING_DOWNSTAIRS" 3 0.296
"tBodyAcc-mean()-X" 1 20 "SITTING" 4 0.278
"tBodyAcc-mean()-X" 1 20 "STANDING" 5 0.278
"tBodyAcc-mean()-X" 1 20 "LAYING" 6 0.24
"tBodyAcc-mean()-X" 1 21 "WALKING" 1 0.279
"tBodyAcc-mean()-X" 1 21 "WALKING_UPSTAIRS" 2 0.265
"tBodyAcc-mean()-X" 1 21 "WALKING_DOWNSTAIRS" 3 0.301
"tBodyAcc-mean()-X" 1 21 "SITTING" 4 0.278
"tBodyAcc-mean()-X" 1 21 "STANDING" 5 0.277
"tBodyAcc-mean()-X" 1 21 "LAYING" 6 0.271
"tBodyAcc-mean()-X" 1 22 "WALKING" 1 0.279
"tBodyAcc-mean()-X" 1 22 "WALKING_UPSTAIRS" 2 0.248
"tBodyAcc-mean()-X" 1 22 "WALKING_DOWNSTAIRS" 3 0.284
"tBodyAcc-mean()-X" 1 22 "SITTING" 4 0.274
"tBodyAcc-mean()-X" 1 22 "STANDING" 5 0.279
"tBodyAcc-mean()-X" 1 22 "LAYING" 6 0.28
"tBodyAcc-mean()-X" 1 23 "WALKING" 1 0.273
"tBodyAcc-mean()-X" 1 23 "WALKING_UPSTAIRS" 2 0.25
"tBodyAcc-mean()-X" 1 23 "WALKING_DOWNSTAIRS" 3 0.29
"tBodyAcc-mean()-X" 1 23 "SITTING" 4 0.273
"tBodyAcc-mean()-X" 1 23 "STANDING" 5 0.278
"tBodyAcc-mean()-X" 1 23 "LAYING" 6 0.274
"tBodyAcc-mean()-X" 1 24 "WALKING" 1 0.277
"tBodyAcc-mean()-X" 1 24 "WALKING_UPSTAIRS" 2 0.27
"tBodyAcc-mean()-X" 1 24 "WALKING_DOWNSTAIRS" 3 0.289
"tBodyAcc-mean()-X" 1 24 "SITTING" 4 0.273
"tBodyAcc-mean()-X" 1 24 "STANDING" 5 0.28
"tBodyAcc-mean()-X" 1 24 "LAYING" 6 0.273
"tBodyAcc-mean()-X" 1 25 "WALKING" 1 0.279
"tBodyAcc-mean()-X" 1 25 "WALKING_UPSTAIRS" 2 0.278
"tBodyAcc-mean()-X" 1 25 "WALKING_DOWNSTAIRS" 3 0.291
"tBodyAcc-mean()-X" 1 25 "SITTING" 4 0.279
"tBodyAcc-mean()-X" 1 25 "STANDING" 5 0.278
"tBodyAcc-mean()-X" 1 25 "LAYING" 6 0.251
"tBodyAcc-mean()-X" 1 26 "WALKING" 1 0.279
"tBodyAcc-mean()-X" 1 26 "WALKING_UPSTAIRS" 2 0.273
"tBodyAcc-mean()-X" 1 26 "WALKING_DOWNSTAIRS" 3 0.279
"tBodyAcc-mean()-X" 1 26 "SITTING" 4 0.258
"tBodyAcc-mean()-X" 1 26 "STANDING" 5 0.281
"tBodyAcc-mean()-X" 1 26 "LAYING" 6 0.272
"tBodyAcc-mean()-X" 1 27 "WALKING" 1 0.277
"tBodyAcc-mean()-X" 1 27 "WALKING_UPSTAIRS" 2 0.266
"tBodyAcc-mean()-X" 1 27 "WALKING_DOWNSTAIRS" 3 0.298
"tBodyAcc-mean()-X" 1 27 "SITTING" 4 0.274
"tBodyAcc-mean()-X" 1 27 "STANDING" 5 0.28
"tBodyAcc-mean()-X" 1 27 "LAYING" 6 0.274
"tBodyAcc-mean()-X" 1 28 "WALKING" 1 0.281
"tBodyAcc-mean()-X" 1 28 "WALKING_UPSTAIRS" 2 0.262
"tBodyAcc-mean()-X" 1 28 "WALKING_DOWNSTAIRS" 3 0.294
"tBodyAcc-mean()-X" 1 28 "SITTING" 4 0.277
"tBodyAcc-mean()-X" 1 28 "STANDING" 5 0.278
"tBodyAcc-mean()-X" 1 28 "LAYING" 6 0.276
"tBodyAcc-mean()-X" 1 29 "WALKING" 1 0.272
"tBodyAcc-mean()-X" 1 29 "WALKING_UPSTAIRS" 2 0.265
"tBodyAcc-mean()-X" 1 29 "WALKING_DOWNSTAIRS" 3 0.293
"tBodyAcc-mean()-X" 1 29 "SITTING" 4 0.277
"tBodyAcc-mean()-X" 1 29 "STANDING" 5 0.278
"tBodyAcc-mean()-X" 1 29 "LAYING" 6 0.287
"tBodyAcc-mean()-X" 1 30 "WALKING" 1 0.276
"tBodyAcc-mean()-X" 1 30 "WALKING_UPSTAIRS" 2 0.271
"tBodyAcc-mean()-X" 1 30 "WALKING_DOWNSTAIRS" 3 0.283
"tBodyAcc-mean()-X" 1 30 "SITTING" 4 0.268
"tBodyAcc-mean()-X" 1 30 "STANDING" 5 0.277
"tBodyAcc-mean()-X" 1 30 "LAYING" 6 0.281
"tBodyAcc-mean()-Y" 2 1 "WALKING" 1 -0.0174
"tBodyAcc-mean()-Y" 2 1 "WALKING_UPSTAIRS" 2 -0.024
"tBodyAcc-mean()-Y" 2 1 "WALKING_DOWNSTAIRS" 3 -0.00992
"tBodyAcc-mean()-Y" 2 1 "SITTING" 4 -0.00131
"tBodyAcc-mean()-Y" 2 1 "STANDING" 5 -0.0161
"tBodyAcc-mean()-Y" 2 1 "LAYING" 6 -0.0405
"tBodyAcc-mean()-Y" 2 2 "WALKING" 1 -0.0186
"tBodyAcc-mean()-Y" 2 2 "WALKING_UPSTAIRS" 2 -0.0214
"tBodyAcc-mean()-Y" 2 2 "WALKING_DOWNSTAIRS" 3 -0.0227
"tBodyAcc-mean()-Y" 2 2 "SITTING" 4 -0.0157
"tBodyAcc-mean()-Y" 2 2 "STANDING" 5 -0.0184
"tBodyAcc-mean()-Y" 2 2 "LAYING" 6 -0.0182
"tBodyAcc-mean()-Y" 2 3 "WALKING" 1 -0.0172
"tBodyAcc-mean()-Y" 2 3 "WALKING_UPSTAIRS" 2 -0.0324
"tBodyAcc-mean()-Y" 2 3 "WALKING_DOWNSTAIRS" 3 -0.0194
"tBodyAcc-mean()-Y" 2 3 "SITTING" 4 -0.0035
"tBodyAcc-mean()-Y" 2 3 "STANDING" 5 -0.0143
"tBodyAcc-mean()-Y" 2 3 "LAYING" 6 -0.019
"tBodyAcc-mean()-Y" 2 4 "WALKING" 1 -0.0148
"tBodyAcc-mean()-Y" 2 4 "WALKING_UPSTAIRS" 2 -0.032
"tBodyAcc-mean()-Y" 2 4 "WALKING_DOWNSTAIRS" 3 -0.0098
"tBodyAcc-mean()-Y" 2 4 "SITTING" 4 -0.00716
"tBodyAcc-mean()-Y" 2 4 "STANDING" 5 -0.00949
"tBodyAcc-mean()-Y" 2 4 "LAYING" 6 -0.015
"tBodyAcc-mean()-Y" 2 5 "WALKING" 1 -0.0173
"tBodyAcc-mean()-Y" 2 5 "WALKING_UPSTAIRS" 2 -0.0325
"tBodyAcc-mean()-Y" 2 5 "WALKING_DOWNSTAIRS" 3 -0.0085
"tBodyAcc-mean()-Y" 2 5 "SITTING" 4 -0.0099
"tBodyAcc-mean()-Y" 2 5 "STANDING" 5 -0.007
"tBodyAcc-mean()-Y" 2 5 "LAYING" 6 -0.0183
"tBodyAcc-mean()-Y" 2 6 "WALKING" 1 -0.0169
"tBodyAcc-mean()-Y" 2 6 "WALKING_UPSTAIRS" 2 -0.0272
"tBodyAcc-mean()-Y" 2 6 "WALKING_DOWNSTAIRS" 3 -0.0195
"tBodyAcc-mean()-Y" 2 6 "SITTING" 4 -0.0146
"tBodyAcc-mean()-Y" 2 6 "STANDING" 5 -0.0181
"tBodyAcc-mean()-Y" 2 6 "LAYING" 6 -0.0103
"tBodyAcc-mean()-Y" 2 7 "WALKING" 1 -0.0187
"tBodyAcc-mean()-Y" 2 7 "WALKING_UPSTAIRS" 2 -0.0276
"tBodyAcc-mean()-Y" 2 7 "WALKING_DOWNSTAIRS" 3 -0.0166
"tBodyAcc-mean()-Y" 2 7 "SITTING" 4 -0.0146
"tBodyAcc-mean()-Y" 2 7 "STANDING" 5 -0.0146
"tBodyAcc-mean()-Y" 2 7 "LAYING" 6 -0.0204
"tBodyAcc-mean()-Y" 2 8 "WALKING" 1 -0.0187
"tBodyAcc-mean()-Y" 2 8 "WALKING_UPSTAIRS" 2 -0.0282
"tBodyAcc-mean()-Y" 2 8 "WALKING_DOWNSTAIRS" 3 -0.0211
"tBodyAcc-mean()-Y" 2 8 "SITTING" 4 -0.00673
"tBodyAcc-mean()-Y" 2 8 "STANDING" 5 -0.0148
"tBodyAcc-mean()-Y" 2 8 "LAYING" 6 -0.0212
"tBodyAcc-mean()-Y" 2 9 "WALKING" 1 -0.0181
"tBodyAcc-mean()-Y" 2 9 "WALKING_UPSTAIRS" 2 -0.0195
"tBodyAcc-mean()-Y" 2 9 "WALKING_DOWNSTAIRS" 3 -0.0204
"tBodyAcc-mean()-Y" 2 9 "SITTING" 4 -0.027
"tBodyAcc-mean()-Y" 2 9 "STANDING" 5 -0.02
"tBodyAcc-mean()-Y" 2 9 "LAYING" 6 -0.0205
"tBodyAcc-mean()-Y" 2 10 "WALKING" 1 -0.017
"tBodyAcc-mean()-Y" 2 10 "WALKING_UPSTAIRS" 2 -0.0144
"tBodyAcc-mean()-Y" 2 10 "WALKING_DOWNSTAIRS" 3 -0.02
"tBodyAcc-mean()-Y" 2 10 "SITTING" 4 -0.015
"tBodyAcc-mean()-Y" 2 10 "STANDING" 5 -0.0155
"tBodyAcc-mean()-Y" 2 10 "LAYING" 6 -0.0243
"tBodyAcc-mean()-Y" 2 11 "WALKING" 1 -0.0166
"tBodyAcc-mean()-Y" 2 11 "WALKING_UPSTAIRS" 2 -0.0303
"tBodyAcc-mean()-Y" 2 11 "WALKING_DOWNSTAIRS" 3 -0.0178
"tBodyAcc-mean()-Y" 2 11 "SITTING" 4 -0.0149
"tBodyAcc-mean()-Y" 2 11 "STANDING" 5 -0.0172
"tBodyAcc-mean()-Y" 2 11 "LAYING" 6 -0.0177
"tBodyAcc-mean()-Y" 2 12 "WALKING" 1 -0.0156
"tBodyAcc-mean()-Y" 2 12 "WALKING_UPSTAIRS" 2 -0.0264
"tBodyAcc-mean()-Y" 2 12 "WALKING_DOWNSTAIRS" 3 -0.0181
"tBodyAcc-mean()-Y" 2 12 "SITTING" 4 -0.0158
"tBodyAcc-mean()-Y" 2 12 "STANDING" 5 -0.0169
"tBodyAcc-mean()-Y" 2 12 "LAYING" 6 -0.0175
"tBodyAcc-mean()-Y" 2 13 "WALKING" 1 -0.0186
"tBodyAcc-mean()-Y" 2 13 "WALKING_UPSTAIRS" 2 -0.0277
"tBodyAcc-mean()-Y" 2 13 "WALKING_DOWNSTAIRS" 3 -0.0144
"tBodyAcc-mean()-Y" 2 13 "SITTING" 4 -0.00588
"tBodyAcc-mean()-Y" 2 13 "STANDING" 5 -0.0168
"tBodyAcc-mean()-Y" 2 13 "LAYING" 6 -0.0204
"tBodyAcc-mean()-Y" 2 14 "WALKING" 1 -0.0218
"tBodyAcc-mean()-Y" 2 14 "WALKING_UPSTAIRS" 2 -0.0204
"tBodyAcc-mean()-Y" 2 14 "WALKING_DOWNSTAIRS" 3 -0.02
"tBodyAcc-mean()-Y" 2 14 "SITTING" 4 -0.00871
"tBodyAcc-mean()-Y" 2 14 "STANDING" 5 -0.0152
"tBodyAcc-mean()-Y" 2 14 "LAYING" 6 -0.0113
"tBodyAcc-mean()-Y" 2 15 "WALKING" 1 -0.0171
"tBodyAcc-mean()-Y" 2 15 "WALKING_UPSTAIRS" 2 -0.0288
"tBodyAcc-mean()-Y" 2 15 "WALKING_DOWNSTAIRS" 3 -0.00563
"tBodyAcc-mean()-Y" 2 15 "SITTING" 4 -0.0117
"tBodyAcc-mean()-Y" 2 15 "STANDING" 5 -0.0184
"tBodyAcc-mean()-Y" 2 15 "LAYING" 6 -0.0166
"tBodyAcc-mean()-Y" 2 16 "WALKING" 1 -0.0204
"tBodyAcc-mean()-Y" 2 16 "WALKING_UPSTAIRS" 2 -0.0144
"tBodyAcc-mean()-Y" 2 16 "WALKING_DOWNSTAIRS" 3 -0.0184
"tBodyAcc-mean()-Y" 2 16 "SITTING" 4 -0.0102
"tBodyAcc-mean()-Y" 2 16 "STANDING" 5 -0.0166
"tBodyAcc-mean()-Y" 2 16 "LAYING" 6 -0.0166
"tBodyAcc-mean()-Y" 2 17 "WALKING" 1 -0.0185
"tBodyAcc-mean()-Y" 2 17 "WALKING_UPSTAIRS" 2 -0.0229
"tBodyAcc-mean()-Y" 2 17 "WALKING_DOWNSTAIRS" 3 -0.0167
"tBodyAcc-mean()-Y" 2 17 "SITTING" 4 -0.0142
"tBodyAcc-mean()-Y" 2 17 "STANDING" 5 -0.0174
"tBodyAcc-mean()-Y" 2 17 "LAYING" 6 -0.0168
"tBodyAcc-mean()-Y" 2 18 "WALKING" 1 -0.0178
"tBodyAcc-mean()-Y" 2 18 "WALKING_UPSTAIRS" 2 -0.0222
"tBodyAcc-mean()-Y" 2 18 "WALKING_DOWNSTAIRS" 3 -0.0169
"tBodyAcc-mean()-Y" 2 18 "SITTING" 4 -0.0129
"tBodyAcc-mean()-Y" 2 18 "STANDING" 5 -0.0166
"tBodyAcc-mean()-Y" 2 18 "LAYING" 6 -0.0174
"tBodyAcc-mean()-Y" 2 19 "WALKING" 1 -0.0192
"tBodyAcc-mean()-Y" 2 19 "WALKING_UPSTAIRS" 2 -0.0304
"tBodyAcc-mean()-Y" 2 19 "WALKING_DOWNSTAIRS" 3 -0.0146
"tBodyAcc-mean()-Y" 2 19 "SITTING" 4 -0.0167
"tBodyAcc-mean()-Y" 2 19 "STANDING" 5 -0.0154
"tBodyAcc-mean()-Y" 2 19 "LAYING" 6 -0.0171
"tBodyAcc-mean()-Y" 2 20 "WALKING" 1 -0.0212
"tBodyAcc-mean()-Y" 2 20 "WALKING_UPSTAIRS" 2 -0.0282
"tBodyAcc-mean()-Y" 2 20 "WALKING_DOWNSTAIRS" 3 -0.00964
"tBodyAcc-mean()-Y" 2 20 "SITTING" 4 -0.0147
"tBodyAcc-mean()-Y" 2 20 "STANDING" 5 -0.0181
"tBodyAcc-mean()-Y" 2 20 "LAYING" 6 -0.0144
"tBodyAcc-mean()-Y" 2 21 "WALKING" 1 -0.0182
"tBodyAcc-mean()-Y" 2 21 "WALKING_UPSTAIRS" 2 -0.0237
"tBodyAcc-mean()-Y" 2 21 "WALKING_DOWNSTAIRS" 3 -0.0173
"tBodyAcc-mean()-Y" 2 21 "SITTING" 4 -0.0144
"tBodyAcc-mean()-Y" 2 21 "STANDING" 5 -0.0167
"tBodyAcc-mean()-Y" 2 21 "LAYING" 6 -0.0184
"tBodyAcc-mean()-Y" 2 22 "WALKING" 1 -0.0167
"tBodyAcc-mean()-Y" 2 22 "WALKING_UPSTAIRS" 2 -0.0269
"tBodyAcc-mean()-Y" 2 22 "WALKING_DOWNSTAIRS" 3 -0.0198
"tBodyAcc-mean()-Y" 2 22 "SITTING" 4 -0.0123
"tBodyAcc-mean()-Y" 2 22 "STANDING" 5 -0.0159
"tBodyAcc-mean()-Y" 2 22 "LAYING" 6 -0.0143
"tBodyAcc-mean()-Y" 2 23 "WALKING" 1 -0.0184
"tBodyAcc-mean()-Y" 2 23 "WALKING_UPSTAIRS" 2 -0.0324
"tBodyAcc-mean()-Y" 2 23 "WALKING_DOWNSTAIRS" 3 -0.0162
"tBodyAcc-mean()-Y" 2 23 "SITTING" 4 -0.0134
"tBodyAcc-mean()-Y" 2 23 "STANDING" 5 -0.0177
"tBodyAcc-mean()-Y" 2 23 "LAYING" 6 -0.0217
"tBodyAcc-mean()-Y" 2 24 "WALKING" 1 -0.0225
"tBodyAcc-mean()-Y" 2 24 "WALKING_UPSTAIRS" 2 -0.0252
"tBodyAcc-mean()-Y" 2 24 "WALKING_DOWNSTAIRS" 3 -0.0146
"tBodyAcc-mean()-Y" 2 24 "SITTING" 4 -0.0131
"tBodyAcc-mean()-Y" 2 24 "STANDING" 5 -0.0145
"tBodyAcc-mean()-Y" 2 24 "LAYING" 6 -0.0174
"tBodyAcc-mean()-Y" 2 25 "WALKING" 1 -0.0186
"tBodyAcc-mean()-Y" 2 25 "WALKING_UPSTAIRS" 2 -0.027
"tBodyAcc-mean()-Y" 2 25 "WALKING_DOWNSTAIRS" 3 -0.021
"tBodyAcc-mean()-Y" 2 25 "SITTING" 4 -0.0148
"tBodyAcc-mean()-Y" 2 25 "STANDING" 5 -0.0164
"tBodyAcc-mean()-Y" 2 25 "LAYING" 6 -0.0189
"tBodyAcc-mean()-Y" 2 26 "WALKING" 1 -0.0154
"tBodyAcc-mean()-Y" 2 26 "WALKING_UPSTAIRS" 2 -0.0282
"tBodyAcc-mean()-Y" 2 26 "WALKING_DOWNSTAIRS" 3 -0.0126
"tBodyAcc-mean()-Y" 2 26 "SITTING" 4 -0.00713
"tBodyAcc-mean()-Y" 2 26 "STANDING" 5 -0.0167
"tBodyAcc-mean()-Y" 2 26 "LAYING" 6 -0.0192
"tBodyAcc-mean()-Y" 2 27 "WALKING" 1 -0.0166
"tBodyAcc-mean()-Y" 2 27 "WALKING_UPSTAIRS" 2 -0.0201
"tBodyAcc-mean()-Y" 2 27 "WALKING_DOWNSTAIRS" 3 -0.0136
"tBodyAcc-mean()-Y" 2 27 "SITTING" 4 -0.0155
"tBodyAcc-mean()-Y" 2 27 "STANDING" 5 -0.0166
"tBodyAcc-mean()-Y" 2 27 "LAYING" 6 -0.018
"tBodyAcc-mean()-Y" 2 28 "WALKING" 1 -0.0157
"tBodyAcc-mean()-Y" 2 28 "WALKING_UPSTAIRS" 2 -0.0279
"tBodyAcc-mean()-Y" 2 28 "WALKING_DOWNSTAIRS" 3 -0.022
"tBodyAcc-mean()-Y" 2 28 "SITTING" 4 -0.0185
"tBodyAcc-mean()-Y" 2 28 "STANDING" 5 -0.0173
"tBodyAcc-mean()-Y" 2 28 "LAYING" 6 -0.0168
"tBodyAcc-mean()-Y" 2 29 "WALKING" 1 -0.0163
"tBodyAcc-mean()-Y" 2 29 "WALKING_UPSTAIRS" 2 -0.0299
"tBodyAcc-mean()-Y" 2 29 "WALKING_DOWNSTAIRS" 3 -0.0149
"tBodyAcc-mean()-Y" 2 29 "SITTING" 4 -0.0166
"tBodyAcc-mean()-Y" 2 29 "STANDING" 5 -0.0173
"tBodyAcc-mean()-Y" 2 29 "LAYING" 6 -0.0172
"tBodyAcc-mean()-Y" 2 30 "WALKING" 1 -0.0176
"tBodyAcc-mean()-Y" 2 30 "WALKING_UPSTAIRS" 2 -0.0253
"tBodyAcc-mean()-Y" 2 30 "WALKING_DOWNSTAIRS" 3 -0.0174
"tBodyAcc-mean()-Y" 2 30 "SITTING" 4 -0.00805
"tBodyAcc-mean()-Y" 2 30 "STANDING" 5 -0.017
"tBodyAcc-mean()-Y" 2 30 "LAYING" 6 -0.0194
"tBodyAcc-mean()-Z" 3 1 "WALKING" 1 -0.111
"tBodyAcc-mean()-Z" 3 1 "WALKING_UPSTAIRS" 2 -0.0973
"tBodyAcc-mean()-Z" 3 1 "WALKING_DOWNSTAIRS" 3 -0.108
"tBodyAcc-mean()-Z" 3 1 "SITTING" 4 -0.105
"tBodyAcc-mean()-Z" 3 1 "STANDING" 5 -0.111
"tBodyAcc-mean()-Z" 3 1 "LAYING" 6 -0.113
"tBodyAcc-mean()-Z" 3 2 "WALKING" 1 -0.106
